service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
002_20150831P,1,1,1,1,1,0,0,20150831,20220923
002_20150831S,0,0,0,0,0,1,0,20150831,20220923
002_20150831N,0,0,0,0,0,0,1,20150831,20220923
003_20150831_2P,1,1,1,1,1,0,0,20150831,20220923
003_20150831_2S,0,0,0,0,0,1,0,20150831,20220923
003_20150831_2N,0,0,0,0,0,0,1,20150831,20220923
004_20151022P,1,1,1,1,1,0,0,20151022,20220923
004_20151022S,0,0,0,0,0,1,0,20151022,20220923
004_20151022N,0,0,0,0,0,0,1,20151022,20220923
005_20150831P,1,1,1,1,1,0,0,20150831,20220923
005_20150831S,0,0,0,0,0,1,0,20150831,20220923
005_20150831N,0,0,0,0,0,0,1,20150831,20220923
006_20150831P,1,1,1,1,1,0,0,20150831,20220923
006_20150831S,0,0,0,0,0,1,0,20150831,20220923
006_20150831N,0,0,0,0,0,0,1,20150831,20220923
007_20150401P,1,1,1,1,1,0,0,20150401,20220923
007_20150401S,0,0,0,0,0,1,0,20150401,20220923
007_20150401N,0,0,0,0,0,0,1,20150401,20220923
008_20150831_2P,1,1,1,1,1,0,0,20150831,20220923
008_20150831_2S,0,0,0,0,0,1,0,20150831,20220923
008_20150831_2N,0,0,0,0,0,0,1,20150831,20220923
009_20150831P,1,1,1,1,1,0,0,20150831,20220923
009_20150831S,0,0,0,0,0,1,0,20150831,20220923
009_20150831N,0,0,0,0,0,0,1,20150831,20220923
010_20151010P,1,1,1,1,1,0,0,20151010,20220923
010_20151010S,0,0,0,0,0,1,0,20151010,20220923
010_20151010N,0,0,0,0,0,0,1,20151010,20220923
011_20150803P,1,1,1,1,1,0,0,20150803,20220923
011_20150803S,0,0,0,0,0,1,0,20150803,20220923
011_20150803N,0,0,0,0,0,0,1,20150803,20220923
012_20151010P,1,1,1,1,1,0,0,20151010,20220923
012_20151010S,0,0,0,0,0,1,0,20151010,20220923
012_20151010N,0,0,0,0,0,0,1,20151010,20220923
