route_id,route_short_name,route_long_name,route_type
002_X0,,002_X0,0
002_X1,,002_X1,0
002_X2,,002_X2,0
002_X3,,002_X3,0
002_X4,,002_X4,0
002_X5,,002_X5,0
002_X6,,002_X6,0
002_X7,,002_X7,0
002_X8,,002_X8,0
002_X9,,002_X9,0
002_X10,,002_X10,0
002_X18,,002_X18,0
002_X19,,002_X19,0
002_X11,,002_X11,0
002_X12,,002_X12,0
002_X13,,002_X13,0
002_X14,,002_X14,0
002_X15,,002_X15,0
002_X16,,002_X16,0
002_X17,,002_X17,0
002_X20,,002_X20,0
003_X0,,003_X0,0
003_X1,,003_X1,0
003_X2,,003_X2,0
003_X3,,003_X3,0
003_X4,,003_X4,0
003_X5,,003_X5,0
003_X6,,003_X6,0
003_X7,,003_X7,0
003_X8,,003_X8,0
003_X21,,003_X21,0
003_X22,,003_X22,0
003_X26,,003_X26,0
003_X9,,003_X9,0
003_X10,,003_X10,0
003_X11,,003_X11,0
003_X12,,003_X12,0
003_X13,,003_X13,0
003_X14,,003_X14,0
003_X15,,003_X15,0
003_X16,,003_X16,0
003_X17,,003_X17,0
003_X18,,003_X18,0
003_X19,,003_X19,0
003_X20,,003_X20,0
003_X23,,003_X23,0
003_X24,,003_X24,0
003_X25,,003_X25,0
004_X0,,004_X0,0
004_X1,,004_X1,0
004_X2,,004_X2,0
004_X3,,004_X3,0
004_X4,,004_X4,0
004_X5,,004_X5,0
004_X6,,004_X6,0
004_X7,,004_X7,0
004_X8,,004_X8,0
005_X0,,005_X0,0
005_X1,,005_X1,0
005_X2,,005_X2,0
005_X3,,005_X3,0
005_X4,,005_X4,0
005_X5,,005_X5,0
005_X6,,005_X6,0
005_X7,,005_X7,0
005_X8,,005_X8,0
005_X9,,005_X9,0
005_X10,,005_X10,0
005_X11,,005_X11,0
006_X0,,006_X0,0
006_X1,,006_X1,0
006_X2,,006_X2,0
006_X3,,006_X3,0
006_X4,,006_X4,0
006_X5,,006_X5,0
006_X6,,006_X6,0
006_X15,,006_X15,0
006_X7,,006_X7,0
006_X8,,006_X8,0
006_X9,,006_X9,0
006_X10,,006_X10,0
006_X11,,006_X11,0
006_X12,,006_X12,0
006_X13,,006_X13,0
006_X14,,006_X14,0
007_X0,,007_X0,0
007_X1,,007_X1,0
007_X2,,007_X2,0
007_X3,,007_X3,0
007_X4,,007_X4,0
007_X6,,007_X6,0
007_X5,,007_X5,0
007_X7,,007_X7,0
007_X8,,007_X8,0
008_X0,,008_X0,0
008_X1,,008_X1,0
008_X2,,008_X2,0
008_X3,,008_X3,0
008_X4,,008_X4,0
008_X5,,008_X5,0
008_X6,,008_X6,0
008_X7,,008_X7,0
008_X8,,008_X8,0
008_X9,,008_X9,0
008_X10,,008_X10,0
008_X11,,008_X11,0
008_X12,,008_X12,0
008_X13,,008_X13,0
008_X14,,008_X14,0
008_X15,,008_X15,0
008_X31,,008_X31,0
008_X32,,008_X32,0
008_X16,,008_X16,0
008_X17,,008_X17,0
008_X18,,008_X18,0
008_X19,,008_X19,0
008_X20,,008_X20,0
008_X21,,008_X21,0
008_X22,,008_X22,0
008_X23,,008_X23,0
008_X24,,008_X24,0
008_X25,,008_X25,0
008_X26,,008_X26,0
008_X27,,008_X27,0
008_X28,,008_X28,0
008_X29,,008_X29,0
008_X30,,008_X30,0
008_X33,,008_X33,0
008_X34,,008_X34,0
008_X35,,008_X35,0
008_X36,,008_X36,0
008_X37,,008_X37,0
008_X38,,008_X38,0
008_X39,,008_X39,0
008_X40,,008_X40,0
008_X41,,008_X41,0
009_X0,,009_X0,0
009_X1,,009_X1,0
009_X2,,009_X2,0
009_X3,,009_X3,0
010_X0,,010_X0,0
010_X1,,010_X1,0
010_X2,,010_X2,0
010_X3,,010_X3,0
010_X4,,010_X4,0
010_X5,,010_X5,0
010_X6,,010_X6,0
010_X7,,010_X7,0
010_X8,,010_X8,0
010_X9,,010_X9,0
010_X10,,010_X10,0
010_X11,,010_X11,0
010_X19,,010_X19,0
010_X12,,010_X12,0
010_X13,,010_X13,0
010_X14,,010_X14,0
010_X15,,010_X15,0
010_X16,,010_X16,0
010_X17,,010_X17,0
010_X18,,010_X18,0
010_X20,,010_X20,0
010_X21,,010_X21,0
010_X22,,010_X22,0
011_X0,,011_X0,0
011_X1,,011_X1,0
011_X2,,011_X2,0
011_X3,,011_X3,0
011_X4,,011_X4,0
011_X5,,011_X5,0
011_X6,,011_X6,0
011_X7,,011_X7,0
011_X8,,011_X8,0
011_X9,,011_X9,0
011_X10,,011_X10,0
011_X11,,011_X11,0
012_X0,,012_X0,0
012_X1,,012_X1,0
012_X2,,012_X2,0
012_X3,,012_X3,0
012_X4,,012_X4,0
012_X5,,012_X5,0
012_X6,,012_X6,0
012_X7,,012_X7,0
012_X13,,012_X13,0
012_X8,,012_X8,0
012_X9,,012_X9,0
012_X10,,012_X10,0
012_X11,,012_X11,0
012_X12,,012_X12,0
