stop_lat,stop_lon,stop_id,stop_name
18.6151527,54.3757843,2018,Miszewskiego
18.6030332,54.3798817,2022,Klonowa
18.5987318,54.3821912,2024,Galeria Bałtycka
18.5908197,54.387051,2026,Wojska Polskiego
18.5659212,54.4099191,2046,Oliwa
18.5629806,54.4083748,2043,Obrońców Westerplatte
18.5671004,54.4100121,2045,Oliwa
18.563912,54.4050693,2041,Derdowskiego
18.5656803,54.4027016,2039,Tetmajera
18.5686061,54.3988472,2037,Bażyńskiego
18.5717146,54.3957288,2035,Uniwersytet
18.5776677,54.3911956,2033,Strzyża PKM
18.5815637,54.3884078,2030,Zajezdnia
18.5850928,54.3869011,2028,Zamenhofa
18.578205,54.3911394,213,Strzyża PKM
18.6415532,54.3620657,2006,Brama Oliwska
18.6986355,54.3629887,2124,Kaczeńce
18.6643353,54.3446413,2110,Akademia Muzyczna
18.6693956,54.3477379,2114,Brama Żuławska
18.646072,54.350397,2101,Brama Wyżynna
18.64668,54.3475475,2104,Okopowa
18.6514455,54.3466237,2106,Żabi Kruk
18.6572415,54.3454418,2108,Chmielna
18.6311265,54.3742233,2068,Twarda
18.6477074,54.3605156,2062,Plac Solidarności
18.6434162,54.3566863,2135,Dworzec PKS
18.6322609,54.4084548,2188,Mazurska
18.5734268,54.4167747,2050,Subisława
18.6383444,54.3639912,2008,Chodowieckiego
18.6908572,54.35982,2122,Sucharskiego
18.7281134,54.3730741,207,Stogi Plaża
18.7154956,54.3622992,2130,Stogi Pasanil
18.7041081,54.3628911,2126,Lessowa
18.6866096,54.3578387,2120,Lenartowicza
18.6716413,54.3522384,2116,Głęboka
18.6285111,54.4090414,2186,Wczasy
18.6225269,54.3789706,2073,Reja
18.6218356,54.3828655,2076,Mickiewicza
18.6224301,54.3881647,2173,Kościuszki
18.6235133,54.376468,2072,Wyspiańskiego
18.6263743,54.3753579,2070,Kliniczna - Szpital
18.6021074,54.3942798,2086,Jana Pawła II
18.6214115,54.3740245,2016,Politechnika
18.5950777,54.3991883,203,Zaspa
18.6085095,54.3896452,2082,Bajana
18.6057589,54.3921417,2083,Żwirki i Wigury
18.6143794,54.3837859,2077,Plac Komorowskiego
18.6106785,54.3871568,2079,Legionów
18.6331317,54.3787112,2156,Swojska
18.6576441,54.3922287,2164,Śnieżna
18.6663759,54.3984609,2165,Wyzwolenia - Marynarki Polskiej
18.6426475,54.3646603,2064,Stocznia SKM
18.5655684,54.4136018,2048,Opacka
18.5656889,54.4138914,2047,Opacka
18.6061843,54.3785278,2021,Jaśkowa Dolina
18.6456565,54.3554296,2001,Dworzec Główny
18.645486,54.3554449,2002,Dworzec Główny
