route_id,service_id,trip_id
002_X0,002_20150831P,002_X0-04:38-002_20150831P
002_X0,002_20150831P,002_X0-04:58-002_20150831P
002_X0,002_20150831P,002_X0-05:18-002_20150831P
002_X0,002_20150831P,002_X0-05:35-002_20150831P
002_X0,002_20150831P,002_X0-05:55-002_20150831P
002_X0,002_20150831P,002_X0-06:15-002_20150831P
002_X0,002_20150831P,002_X0-14:55-002_20150831P
002_X0,002_20150831S,002_X0-09:17-002_20150831S
002_X0,002_20150831N,002_X0-12:17-002_20150831N
002_X1,002_20150831P,002_X1-04:40-002_20150831P
002_X1,002_20150831P,002_X1-05:00-002_20150831P
002_X1,002_20150831P,002_X1-05:20-002_20150831P
002_X1,002_20150831P,002_X1-05:35-002_20150831P
002_X1,002_20150831P,002_X1-19:40-002_20150831P
002_X1,002_20150831P,002_X1-20:20-002_20150831P
002_X1,002_20150831S,002_X1-06:40-002_20150831S
002_X1,002_20150831S,002_X1-07:00-002_20150831S
002_X1,002_20150831S,002_X1-07:20-002_20150831S
002_X1,002_20150831S,002_X1-07:40-002_20150831S
002_X1,002_20150831S,002_X1-08:00-002_20150831S
002_X1,002_20150831S,002_X1-08:20-002_20150831S
002_X1,002_20150831S,002_X1-08:40-002_20150831S
002_X1,002_20150831S,002_X1-09:00-002_20150831S
002_X1,002_20150831S,002_X1-09:20-002_20150831S
002_X1,002_20150831S,002_X1-09:40-002_20150831S
002_X1,002_20150831S,002_X1-10:00-002_20150831S
002_X1,002_20150831S,002_X1-10:20-002_20150831S
002_X1,002_20150831S,002_X1-10:40-002_20150831S
002_X1,002_20150831S,002_X1-11:00-002_20150831S
002_X1,002_20150831S,002_X1-11:20-002_20150831S
002_X1,002_20150831S,002_X1-11:40-002_20150831S
002_X1,002_20150831S,002_X1-12:00-002_20150831S
002_X1,002_20150831S,002_X1-12:20-002_20150831S
002_X1,002_20150831S,002_X1-12:40-002_20150831S
002_X1,002_20150831S,002_X1-13:00-002_20150831S
002_X1,002_20150831S,002_X1-13:20-002_20150831S
002_X1,002_20150831S,002_X1-13:40-002_20150831S
002_X1,002_20150831S,002_X1-14:00-002_20150831S
002_X1,002_20150831S,002_X1-14:20-002_20150831S
002_X1,002_20150831S,002_X1-14:40-002_20150831S
002_X1,002_20150831S,002_X1-15:00-002_20150831S
002_X1,002_20150831S,002_X1-15:20-002_20150831S
002_X1,002_20150831S,002_X1-15:40-002_20150831S
002_X1,002_20150831S,002_X1-16:00-002_20150831S
002_X1,002_20150831S,002_X1-16:20-002_20150831S
002_X1,002_20150831S,002_X1-16:40-002_20150831S
002_X1,002_20150831S,002_X1-17:00-002_20150831S
002_X1,002_20150831S,002_X1-17:20-002_20150831S
002_X1,002_20150831S,002_X1-17:40-002_20150831S
002_X1,002_20150831S,002_X1-18:00-002_20150831S
002_X1,002_20150831S,002_X1-18:20-002_20150831S
002_X1,002_20150831S,002_X1-18:40-002_20150831S
002_X1,002_20150831S,002_X1-19:20-002_20150831S
002_X1,002_20150831S,002_X1-19:40-002_20150831S
002_X1,002_20150831N,002_X1-09:40-002_20150831N
002_X1,002_20150831N,002_X1-10:00-002_20150831N
002_X1,002_20150831N,002_X1-10:20-002_20150831N
002_X1,002_20150831N,002_X1-10:40-002_20150831N
002_X1,002_20150831N,002_X1-11:00-002_20150831N
002_X1,002_20150831N,002_X1-11:20-002_20150831N
002_X1,002_20150831N,002_X1-11:40-002_20150831N
002_X1,002_20150831N,002_X1-12:00-002_20150831N
002_X1,002_20150831N,002_X1-12:20-002_20150831N
002_X1,002_20150831N,002_X1-12:40-002_20150831N
002_X1,002_20150831N,002_X1-13:00-002_20150831N
002_X1,002_20150831N,002_X1-13:20-002_20150831N
002_X1,002_20150831N,002_X1-13:40-002_20150831N
002_X1,002_20150831N,002_X1-14:00-002_20150831N
002_X1,002_20150831N,002_X1-14:20-002_20150831N
002_X1,002_20150831N,002_X1-14:40-002_20150831N
002_X1,002_20150831N,002_X1-15:00-002_20150831N
002_X1,002_20150831N,002_X1-15:20-002_20150831N
002_X1,002_20150831N,002_X1-15:40-002_20150831N
002_X1,002_20150831N,002_X1-16:00-002_20150831N
002_X1,002_20150831N,002_X1-16:20-002_20150831N
002_X1,002_20150831N,002_X1-16:40-002_20150831N
002_X1,002_20150831N,002_X1-17:00-002_20150831N
002_X1,002_20150831N,002_X1-17:20-002_20150831N
002_X1,002_20150831N,002_X1-17:40-002_20150831N
002_X1,002_20150831N,002_X1-18:00-002_20150831N
002_X1,002_20150831N,002_X1-18:20-002_20150831N
002_X1,002_20150831N,002_X1-18:40-002_20150831N
002_X1,002_20150831N,002_X1-19:20-002_20150831N
002_X1,002_20150831N,002_X1-19:40-002_20150831N
002_X2,002_20150831P,002_X2-05:47-002_20150831P
002_X2,002_20150831P,002_X2-05:57-002_20150831P
002_X2,002_20150831P,002_X2-06:07-002_20150831P
002_X2,002_20150831P,002_X2-06:17-002_20150831P
002_X2,002_20150831P,002_X2-06:27-002_20150831P
002_X2,002_20150831P,002_X2-06:37-002_20150831P
002_X2,002_20150831P,002_X2-06:47-002_20150831P
002_X2,002_20150831P,002_X2-06:57-002_20150831P
002_X2,002_20150831P,002_X2-07:07-002_20150831P
002_X2,002_20150831P,002_X2-07:17-002_20150831P
002_X2,002_20150831P,002_X2-07:37-002_20150831P
002_X2,002_20150831P,002_X2-07:57-002_20150831P
002_X2,002_20150831P,002_X2-08:21-002_20150831P
002_X2,002_20150831P,002_X2-08:41-002_20150831P
002_X2,002_20150831P,002_X2-09:01-002_20150831P
002_X2,002_20150831P,002_X2-09:21-002_20150831P
002_X2,002_20150831P,002_X2-09:41-002_20150831P
002_X2,002_20150831P,002_X2-10:01-002_20150831P
002_X2,002_20150831P,002_X2-10:21-002_20150831P
002_X2,002_20150831P,002_X2-10:41-002_20150831P
002_X2,002_20150831P,002_X2-11:01-002_20150831P
002_X2,002_20150831P,002_X2-11:21-002_20150831P
002_X2,002_20150831P,002_X2-11:41-002_20150831P
002_X2,002_20150831P,002_X2-12:01-002_20150831P
002_X2,002_20150831P,002_X2-12:09-002_20150831P
002_X2,002_20150831P,002_X2-12:21-002_20150831P
002_X2,002_20150831P,002_X2-12:29-002_20150831P
002_X2,002_20150831P,002_X2-12:41-002_20150831P
002_X2,002_20150831P,002_X2-12:49-002_20150831P
002_X2,002_20150831P,002_X2-13:01-002_20150831P
002_X2,002_20150831P,002_X2-13:09-002_20150831P
002_X2,002_20150831P,002_X2-13:21-002_20150831P
002_X2,002_20150831P,002_X2-13:29-002_20150831P
002_X2,002_20150831P,002_X2-13:41-002_20150831P
002_X2,002_20150831P,002_X2-13:57-002_20150831P
002_X2,002_20150831P,002_X2-14:07-002_20150831P
002_X2,002_20150831P,002_X2-14:17-002_20150831P
002_X2,002_20150831P,002_X2-14:27-002_20150831P
002_X2,002_20150831P,002_X2-14:37-002_20150831P
002_X2,002_20150831P,002_X2-14:47-002_20150831P
002_X2,002_20150831P,002_X2-14:57-002_20150831P
002_X2,002_20150831P,002_X2-15:07-002_20150831P
002_X2,002_20150831P,002_X2-15:17-002_20150831P
002_X2,002_20150831P,002_X2-15:27-002_20150831P
002_X2,002_20150831P,002_X2-15:37-002_20150831P
002_X2,002_20150831P,002_X2-15:47-002_20150831P
002_X2,002_20150831P,002_X2-16:17-002_20150831P
002_X2,002_20150831P,002_X2-16:37-002_20150831P
002_X2,002_20150831P,002_X2-16:57-002_20150831P
002_X2,002_20150831P,002_X2-17:21-002_20150831P
002_X2,002_20150831P,002_X2-17:41-002_20150831P
002_X2,002_20150831P,002_X2-18:01-002_20150831P
002_X2,002_20150831P,002_X2-18:29-002_20150831P
002_X2,002_20150831P,002_X2-18:49-002_20150831P
002_X2,002_20150831P,002_X2-19:09-002_20150831P
002_X3,002_20150831P,002_X3-07:27-002_20150831P
002_X3,002_20150831P,002_X3-07:47-002_20150831P
002_X3,002_20150831P,002_X3-08:07-002_20150831P
002_X3,002_20150831P,002_X3-08:29-002_20150831P
002_X3,002_20150831P,002_X3-08:49-002_20150831P
002_X3,002_20150831P,002_X3-09:09-002_20150831P
002_X3,002_20150831P,002_X3-09:29-002_20150831P
002_X3,002_20150831P,002_X3-09:49-002_20150831P
002_X3,002_20150831P,002_X3-10:09-002_20150831P
002_X3,002_20150831P,002_X3-10:29-002_20150831P
002_X3,002_20150831P,002_X3-10:49-002_20150831P
002_X3,002_20150831P,002_X3-11:09-002_20150831P
002_X3,002_20150831P,002_X3-11:29-002_20150831P
002_X3,002_20150831P,002_X3-15:57-002_20150831P
002_X3,002_20150831P,002_X3-16:07-002_20150831P
002_X3,002_20150831P,002_X3-16:27-002_20150831P
002_X3,002_20150831P,002_X3-16:47-002_20150831P
002_X3,002_20150831P,002_X3-17:09-002_20150831P
002_X4,002_20150831P,002_X4-11:49-002_20150831P
002_X4,002_20150831P,002_X4-17:29-002_20150831P
002_X4,002_20150831P,002_X4-17:49-002_20150831P
002_X4,002_20150831P,002_X4-18:09-002_20150831P
